path,corrupted,width,height,mode,aspect_ratio,file_hash,error
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0010226.jpg,False,1024,768,RGB,1.333,7241de61c969fbe7a7b9160a0f19e336,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0014506.jpg,False,4288,2848,RGB,1.506,d6066c0a949c6cbcc3adcc3a1bd68a14,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0010069.jpg,False,1024,768,RGB,1.333,905beec468a35989c4e5c1f520ae8c29,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0012682.jpg,False,3008,2000,RGB,1.504,02d9fbb43ea26988ebf41afb24a15b8f,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0000028.jpg,False,1504,1129,RGB,1.332,66e08f476b3d62a592745605199c4418,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0008626.jpg,False,4288,2848,RGB,1.506,e28d71a405baf296f3f19e88202b3332,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0013618.jpg,False,4288,2848,RGB,1.506,72054dcc84bac2ffc54ff0073da051b1,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0015149.jpg,False,6601,4382,RGB,1.506,461801913ca120a7fa8a29bad97f3b89,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0014897.jpg,False,6668,4459,RGB,1.495,14d0d1ab2468f0f1d28452712eb8a405,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0000436.jpg,False,3072,2304,RGB,1.333,bafd097cd95abb78bf8536f7f6de9196,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0011387.jpg,False,1024,768,RGB,1.333,cfed757d91944b77f5e3c2a51c7af28e,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0012303.jpg,False,3008,2000,RGB,1.504,ef984dff120be160a9e1ed0d0194c65e,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0014346.jpg,False,4288,2848,RGB,1.506,bdb84aed0fb2059a74e37a4ec9f00e78,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0016055.jpg,False,4288,2848,RGB,1.506,754e46cf0ded316b22939e82931e0a76,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0009979.jpg,False,1024,768,RGB,1.333,e3e4f81234f58242faac42fd6c2f36be,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0014974.jpg,False,6668,4459,RGB,1.495,f72565759d8682d6461f89fb765c0333,
/kaggle/input/datasets/tschandl/isic2018-challenge-task1-data-segmentation/ISIC2018_Task1-2_Training_Input/ISIC_0012376.jpg,False,3008,2000,RGB,1.504,c7e6de79df6875bd7d345956a23395f8,
